angry,"The editor changed the heading of an article that I had written.  á
He considered the heading to be derogatory towards the person I had written á
about."
sad,"A close acquaintance of the family died of lung cancer.  á
Although it was expected, I still felt depressed."
happy,When I got the loan for my studies.
angry,"On the T.V I saw a news feature on South Africa.  A policeman      á
attacked a group of black people with a whip."
sad,"The thought of having to read a boring book of 400 pages in á
English."
happy,"When my sister - after a history of one abortion and one á
stillbirth - gave birth to a perfectly healty boy."
angry,"We were starting a student project, and the teacher we talked to á
was very negative and not very helpful."
sad,"When my boyfriend openly let me down, preferring another girl."
happy,"Unexpected visit by a close friend, whom I hadn't seen for half a á
year."
angry,Being treated unfairly.
sad,Breaking up with a girl.
happy,"When I was accepted as a student at the college, not having á
thought it possible."
angry,"I was accused of having done something, which I hadn't and got á
very angry."
sad,When my grandmother died.
happy,"A couple of years ago during the summer holiday, I was fishing at á
a lake with my husband.  Suddenly it started raining while the á
sun was still shining. I experienced a feeling of joy, happiness á
and fulfillment.  the whole nature was full of music."
angry,"I went to a lecture and once again it had been cancelled, this á
was the second time.  One had a negative attitude towards the á
lecturer.á
"
sad,"I heard that a former superior of mine had died, I was later at á
home home reading about it in the newspaper and I thought of our á
interaction and how it was no longer possible.  The limited scope á
of human life is sad."
happy,"I had a summer job in Sweden, and my boyfriend came to meet me on á
my birthday."
angry,"In the holiday cottage of our association, two of my pals came to á
wake me up early one morning by bringing a radio played at the á
highest volume into my room - it was the morning service at its á
loudest."
sad,My grandmother died suddenly last summer.
happy,"I was told quite unexpectedly that one wanted me to become the á
vice-chairman of our student organisation.  I was really á
surprised and joy was the first emotion I felt, though behind it á
there was worry - how shall I succeed ?"
angry,"We were in a disco and the evening was not at all pleasant.  á
Despite my not knowing why, I was angry with my companion.  I let á
him feel my bad humour as I cannot hide my feelings."
sad,"My grandmother died, and my mother called me one sunday morning á
in the Autumn.  The way my mother told me about it, I hated her á
at that moment.  She sounded as if she had been waiting for the á
death of my grandmother.  I had lost a person close to me.  I á
felt guilty too as I had been bad to my grandmother of late.  I had not á
remained calm when she no longer understood everything so well."
happy,"Last night I had a chat with a fellow student.  I had known her á
for about half a year, and for the first time we were speaking á
""the same language""- meaning an inspiring discussion and á
encounter."
angry,"[ I sometimes quarrel with my mother because she blames me, á
though I have not in any way been connected to some events.]"
sad,"After hearing about the death of my grandfather.  First I could á
not believe it, but later I wept and felt the situation was á
hopeless.  I felt lonely and wanted to be consolated."
happy,"I met a dear friend of mine after a long time.  I expressed my feelings á
in our own usual way, by mutual scolding and abusing (with á
complete understanding) and by touching, patting and taking the á
hand of the other person, etc..."
angry,"Two boys whom I know were telling me, in an indecent manner, how á
they had teased a young and shy girl I know.  They had despised á
her conviction, scorned and touched her.  I got very angry and á
did not try to conceal it and gave it back to them."
sad,"My sweetheart left me, or rather we decided to break it off by á
mutual consent.  The consequences were - unrestrained weeping, á
feelings of loneliness, hopelessness and disconsolation.  I felt á
that I should find a friend, to talk to joyfully and to forget."
happy,When I won a tennis match.
angry,"When my tennis match was interrupted because a kid cycled right á
into the court."
sad,[ No response.]
happy,"Celebrations on the graduation day with the orchestra playing in á
the garden ( I am a part of this orchestra)."
angry,"I had a very heavy work load and two colleagues, whom I have á
nothing against, disturbed me by ""terror ringing"", i.e á
continously interrupting me by telephoning."
sad,After an exam which I failed.
happy,"When I met an old schhol friend (school love) who works in á
Sk+vde."
angry,"When I was deputy manager during the Summer, certain deputies á
took liberties, more than what was normal."
sad,"When I realized that my girlfriend, whom I like, and I were going á
to separate."
happy,Passed the last exam.
angry,"I reached the bus stop and realized that I had forgotten my bus á
pass."
sad,"My current work load is too much.  The feeling comes back from á
time to time."
happy,When my one year old son gives me a spontaneous kiss.
angry,When someone does something wrong which affects me negatively.
sad,When I think about my parents getting old.
happy,"An ex-colleague asked me if I was interested in working in their á
accounts bureau.  They needed ""clever people"" and he had á
""immediately thought of me."""
angry,I saw a report on T.V news on apartheid in South Africa. 
sad,[ No response.]
happy,When my girlfriend became pregnant.
angry,The time when someone let the air out of the tyres of my cycle.
sad,When I read a lot and did not remember anything.
happy,[ No response.]
angry,[ No response.]
sad,Long illness.
happy,When I passed an exam.
angry,When I missed the tram after having run for it.
sad,The inability to read a book at college.
happy,"I worked at a lawyer's office during Summer and I got a very á
good reference from him."
angry,"When I am accused of something I have not done, I get unbelievably á
angry."
sad,"When I began to read a thick book, which I had a limited time to á
read.  Also when I have a lot of work to do and I cannot keep up."
happy,When I was finally qualified for my profession.
angry,Someone drove into my car and then denied that it had happened.
sad,When I was told that my friend's wife had cancer.
happy,I stopped working (had a boring job).
angry,Quarrel in the family.
sad,"When I am alone in a room with no contact with anyone - á
loneliness drains me."
happy,When I get a hug from someone I love.
angry,"My car had been towed away by the traffic police because it had á
been wrongly parked.  However the sign had been put up only after á
I had already parked."
sad,After an operation I had to stay in bed for a long time.
happy,When I won an unexpected sum of money.
angry,"A colleague asked me for some advice and as he did not have á
enough confidence in me he asked a third person."
sad,"I wanted to be pregnant and did not succeed, so I was depressed    á
at every menstruation."
happy,"When I was at a party I met an old friend from an adult á
education course.  We had not met for 2 years but had both thought á
a lot about each other.  A wonderful experience.á
"
angry,"When close relatives tried to dissuade me from studying á
Psychology because of its low status."
sad,"I had a long discussion on politics with an acquaintance.  He á
was more knowledgeable than me and I failed to explain my point á
of view and was misunderstood so I felt depressed and left."
happy,When I recently got an appartment in central Gottenburg.
angry,"My employer took too many aspirins for a bad back and also drank á
an enormous amount of spirit.  This was dangerous  and he did á
not understand that he had done anything wrong."
sad,"When I left New York, and all my family and my friends behind me."
happy,"When my son returned from mountaineering - healthy in body and á
soul."
angry,"The sports fishermen who catch gulls instead of fish with their hooks. á
  It is often a mistake but it makes me angry."
sad,I feel sad about an event I can not influence.
happy,"When I was informed that I had been accepted as a student of á
Psychology."
angry,"When I found out that the guy I was dating at a particular time á
had a steady relationship going on with someone else for a long á
time."
sad,I felt sad and depressed when I heard that our cat had died.
happy,When I was acceptted as a student of psychology.
angry,"When, after a week at school, a teacher sent a note home saying á
that my son was inattentive and unable to do his lessons."
sad,"When I thought that it was going to be impossible for me to start á
studying (due to wrong information from the student advisor)."
happy,When my son was born.
angry,"When I was pointed out as a problem child in primary school and á
my mother took the teacher's point of view."
sad,When I was accused of neglecting work for the wrong reasons.
happy,"When after 10 months of national service I was ""downgraded"" and á
did not have to do the remaining 5 months."
angry,"When my parents drove me to a nearby place and went home á
immediately instead of waiting a few hours.  They could have á
easily waited."
sad,"When my ex-girlfriend and I discovered that there was a certain risk á
of her being pregnant."
happy,"When my older sister told us that she was thinking of joining the á
rest of the family for the winter sports holiday."
angry,"When we were in high school a few guys sometimes provoked a á
friend of mine.  They called her a pig and then grunted.  This á
irritated most of the girls.  Once, one of the girls got angry at á
my friend and said something nasty and this made me terribly á
angry."
sad,"I talked to my boyfriend on the phone when I was in high spirits á
and had a lot to tell him.  I had been looking forward to this á
conversation and he did not listen to me to the extent that I á
had anticipated."
happy,When I got through the first day here at the department.
angry,"When my boyfriend sat up half the night playing computer games á
with a friend."
sad,When I had to leave my mother and my sister after a week's visit.
happy,When i was asked to be a child's godmother.
angry,When my mother interfered in my life.
sad,"When I was left alone one week-end without being prepared for á
it."
happy,"When my husband suddenly came to see me at my new job and á
brought some flowers and cake with him."
angry,"When my father asked me if I was a communist, at the same time he á
made it clear that I should no longer see myself as his daughter."
sad,"When I applied for a job which I thought I had a good chance of á
getting, I was not even granted an interview and did not get the á
job."
happy,"When we were able to afford a new sofa - a leather one which cost á
SEK 20000.  I had waited for it for 2-3 years."
angry,"When my boss enrolled in a course to satisfy his own ends - to á
trample on his associates.  I have the misfortune to have one of á
my superiors in my course."
sad,"When I argue with my mother about the way she treats her two á
children differently."
happy,"When I recently managed to get my first consulting assignment á
""myself"" i.e on my own initiative."
angry,"When my friend, as usual, forgot the tickets at home for a á
performance.  We missed it."
sad,"The elections of 1982 and 1985.  The thought of what a social á
democrat and communist majority could achieve, especially ""worker á
share"" funds and its extension."
happy,"When I was appointed to position of trust in a group set up to á
change the working environment."
angry,"When I tried to explain to a plumber, face to face, that the á
toilet was broken and he did not believe it (it had been mended á
ten times)."
sad,"When the result of a project work was treated nonchalantly á
intead of being criticized by the teacher."
happy,"After my girl and I talked things over our relationship changed á
and became positive.  A diificult time turned into pleasant one."
angry,"When I read about Reagan's tactical decision concerning the á
South African boycott."
sad,"When my half brother became seriously ill with cancer and died á
later."
happy,"When I was offered a high position of trust, which I later á
accepted."
angry,"Some noisy guests arrived at the hotel.  I had been slightly á
irritated earlier.  At night when I was trying to sleep they were á
having a party so I went and yelled at them.  I wanted to sleep á
as I had to get up early the next day."
sad,"When I was told that I had not been successful in getting the job I á
had been expecting.  I was sure that I was sufficiently á
qualified."
happy,"[ Cycling in the spring sunshine gives me such delight.  á
Happiness is to be healthy, my wonderful finance.  Simply being á
here on earth.]"
angry,"Recently when my sister, who is four years younger than me and á
very spoiled, shouted at my mother for no apparent reason .  The á
heart-broken expression on my mother's face made me feel very á
angry."
sad,"When I watched the T.V programme called ""The living planet"" and á
saw the far reaching environmental destruction caused by man."
happy,"On a boat trip to Denmark, 14 of us had a lot of fun and we á
spent SEK 10 each on one armed bandits and against all odds we á
won the jackpot of SEK 1000."
angry,"On the way home from Marstrand I was driving behind my father's á
car.  Another car tried to push in front of my father and he was á
forced to swerve and he thus collided the car with a pillar.  The á
other car drove off without even seeing what had happened."
sad,"My girlfriend who had spent 6 months abroad broke off our á
relationship by letter."
happy,"When I was at the end-of-term party last week and had fun - was á
happy and sang and drank only soft drinks.  It is possible to á
have a good time without alcohol."
angry,"In a course I thought that I deserved good marks but I only got á
ordinary marks with no justification as to why I was given these á
marks."
sad,"When I crashed my car and it had to be scrapped then.  It was my á
fault and I feel depressed as I miss the car."
happy,When I felt that my love was returned.
angry,"When it became clear that a man had used many people sexually á
and psychologically, despite the fact that many people looked up á
to him.  I understood that one could not trust him and I was á
forced to hide this for a while."
sad,"When I feel helpless after having tried to help someone without á
any result."
happy,"When I recently got a very positive answer from a clinic telling á
me that they would willingly assist and collect data for me for a á
clinical pilot study."
angry,"When after a lot of provocation my child threw a plate on the á
floor."
sad,"When I realized that I could not communicate properly with my á
closest friend."
happy,"When I began dansing, the teacher came and told me that I was á
very good and would soon get into the ballet academy. "
angry,"When I was forced to call the telephone company about a bill á
concerning a disconnected phone belonging to my landlord.  The á
bill was four months overdue and in the meanwhile he had been á
using my phone, he seemed to have no intention of having his own á
phone reconnected."
sad,"Whenever I read or think about the way people treat animals and á
nature."
happy,When my 6 month old son is happy and well.
angry,[ After an examine I had been satisfied with.]
sad,When a colleague failed to contact me at the arranged time.
happy,When I gave birth to a healthy boy.
angry,"Jealous of my husband's old girlfriend.  We met her with her á
husband and there was a lot of reminiscing."
sad,"When my daughter had problems with her friends and I could see á
her predicament from the window.  She was given a the cold á
shoulder."
happy,"When my husband and I decided to take a few days holiday after a á
particularly trying period."
angry,Exchange of points of view with my sister on a family matter.
sad,Treatment to become pregnant with a negative result.
happy,"When I gave birth to a child and saw that it was normal when it á
was put against my breast."
angry,"At a cash desk where I had gone to buy 16 rolls of kitchen paper á
at a reduced price.  After queuing with screaming children; it á
turned out that I had taken two 8 roll packets instead of the one á
16 roll packet to which the rebate applied.  The assistant said á
""You will have to get it another time."""
sad,When I first heard that Tage Dannielsson had died.
happy,The high school entrance exam.
angry,"An unjust refree decision at a sports event when I was the team á
leader."
sad,When my girlfriend left me.
happy,"Yesterday, when the final whistle blew at the final match between á
OIS and IFK and it was certain that OIS had won the Swedish á
title."
angry,"A drummer who had borrowed my drums destroyed both the drumskin á
and the sticks.  He did not repair them nor did he tell me about á
it."
sad,"When my dad gives priority to my kid brother's band and his á
other activities.  We both play in different bands and rehearse á
in my parents garage."
happy,"When I dived among sharks and the brightly coloured fish on the á
outer reef of Tvavni, Fidgi."
angry,"When I told off a computer teacher who did not want to teach me á
beacause of prejudice."
sad,When I could not do anything because of a bad back.
happy,"When I passed the driving test three weeks ago and got my á
licence."
angry,[ No response.]
sad,[ No response.]
happy,When I met friends I had not seen for the last 2-4 years.
angry,[ No response.]
sad,[ No reponse.]
happy,[ No response.]
angry,When the morning newspaper has not arrived.
sad,[ No response.]
happy,"I feel unbelievably happy about the relationship between my á
boyfriend and me, it is a reoccurring feeling."
angry,"When I argue with my boyfriend, I feel as though he feels á
superior to me."
sad,"When I failed an exam last Summer.  I had worked very hard for it á
and I was very disappointed thinking that it was hopeless to á
continue at college.  I did overreact."
happy,I was very happy when I got an attractive Summer job.
happy,The birth of my child.
angry,"When during Winter the water pipes froze and we did not have any á
water for two days."
sad,I did not quite succeed in breast feeding my baby.
happy,"During the Christmas holidays, I met some of my old friends, á
after not having seen them for six months."
angry,"When our religion teacher presented shocking sectarian thoughts á
and doom's day as official teaching."
sad,"My grandfather died, when I was an exchange student in the USA."
happy,"In the underground's escalator, a youngish bum asked me for á
money.  Although I did not give him anything, the fellow told me á
that I was really good-looking.  A man who was in front of me á
also turned to look at me."
angry,"In the student kitchen that we share, somebody drank from my á
juice pot (one litre) so that I only got one glass out of the á
whole pot."
sad,My father gave money to my brother but not to me.
angry,"I missed the train and had to wait for the next for two hours. á
For this reason I missed an appointment which had been very á
important for me."
sad,When my grandmother died. I had lived with her for ten years.
happy,"A person with whom I had been on bad terms, gave me a present. We á
became reconciled."
angry,"I was watching TV with a friend. After the first film I wanted to á
watch another film on the same channel. My friend switched over á
to the other cannel without asking me what I wanted."
sad,My boy-friend an I seperated on his initiative.
happy,"After having considered it for hours I was able to overcome my á
scruples and to call a friend with whom I had fallen in love. I á
realized that my decision was right - and was very glad."
angry,"I moved to a flat. A friend who had lived there before, had left á
the flat in a terrible mess. I was very angry about that á
sloppiness and impudence."
sad,"My father had a complicated operation. A long time before and á
also a long time after that, we did not know how he would get á
over it. During all that time I felt very sad."
happy,In summer when I was sailing with friends in Greece I felt joy.
happy,"Walking along the beach with a friend (another girl), talking, á
picking up shells, laughing, chasing seagulls."
angry,"A friend suggested in a round-about way that the reason we were á
late for something was because of me, and that I'm often late. I á
know this was partly true, but felt it unjustified that á
particular time and I felt I couldn't do  anything about it á
anyway (i.e. being late)."
sad,"Talking to a very good friend who had just had a very bad á
experience which was changing his whole way of looking at life á
etc."
happy,On meeting an old friend of mine.
angry,During a fight with my best friend.
sad,When my dog died.
happy,"When I realised that I was forgiven by the God who is there, when á
I realised how much God loves me and that my acceptance with him á
is not based on my performance - that he loves me unconditionally á
and showed that love in Christ who died because I do need á
forgiveness."
angry,"At my father's treatment of my mother, at his disregard for her, á
and not being committed to her."
sad,"At a lack of love of my father for my mum, sadness for him more á
than anyone else because he does not realise how much love and á
happiness there could be between them, and is, and how much he is á
damaging himself apart from mum."
angry,"I told my boy friend not to park in a certain place because the á
car would ger towed away - he didn't listen and it was towed away. á
At that stage, our finances were below the poverty line & it á
cost us $10.00 - all the money we had to get us through that week á
(including rent)."
sad,"My sister won a scholarship to Norway and it was particularly as á
she walked across the tarmac to get on the plane and she looked á
back at us."
happy,"I received a wedding invitation from an ex-flatmate, enclosed was á
a small note that overcame a lot of the differences that had á
arisen between us due to the circumstances in which she left the á
flat."
angry,"Getting a terrible exam mark, which I couldn't understand the á
reason for, and trying to see a lecturer or tutor, but being á
given the runaround."
sad,"Watching an old lady running up the street to catch her bus and á
miss it, it reminded me of my own mother and how dreadful it á
would be to be her in the same situation."
angry,When a close relative is treated badly.
sad,When a close friend died.
happy,When I called my boyfriend he asked me if I would live with him.
angry,"When my father's new fiancee treats me like a child.  She does á
not trust me and constantly misunderstands me.  I get á
particularly angry when she says nasty things about my boyfriend á
with whom she works."
sad,"When the guy I was in love with told me that he had met someone á
else and that we would not meet again for a year.  Although we á
did not have a steady relatioship, we were having an affair."
happy,When my love for a guy was returned.
angry,"My parents did not approve my choice of a boyfriend (now an á
ex-boyfriend).  He happened to be 13 years older than me and he á
was considered completely unsuitable for me.  IDIOT."
sad,[ No response.]
happy,"I met my present boyfriend on a boat trip to England.  We had á
said that we would call each other when we got back to Sweden (we á
were not going to the same town in England).  As soon as I walked á
in he called from England as he could not wait till he came á
home."
angry,"There was a sofa in my flat which belonged to the old tenants who á
were acquaintances.  It should have been picked up a year ago but á
they had postponed it.  Eventually they decided on one date and I á
stayed at home despite the fact that I had other things to do.  á
They did not come, nor did they call and they still have not got á
in touch with me."
sad,When my ex-boyfriend and I separated.
happy,When I fell in love.
angry,A girl I was with went off with another guy.
sad,At set-backs.
happy,"When I was accepted as a student of Psychology here at á
Gutttenburg."
angry,[ No response.]
sad,[ No response.]
happy,I made dinner for some friends and they appreciated it very much.
angry,"My father and I had an argument because I do not help enough at á
home."
sad,[ No response.]
happy,After intercourse.
angry,Quarrelled with my younger brother.
sad,When I woke up after a nightmare.
happy,"When I was notified that I had been accepted as a Psychology á
student."
angry,"A lady I live with had not bothered to clean up before she went   á
on holiday (I live in a collective)."
sad,When I heard that a good friend had committed suicide.
happy,"After I had made my debut at Ullevi against IFK, Gottenburg and á
got a good write up in the paper."
angry,[ No response.]
sad,"When I found out that I had failed to pass my exams during the á
term by one point.  The fact that exactly the same thing had á
happened last term did not help."
happy,"As an evening class teacher I got positive feedback.  When the á
atmosphere is good and a kind of relaxed understanding exists."
angry,The sight of a man who ran amok (fighting) at a dance.
sad,When out of work.
happy,"When I was accepted as supervisor for a student teacher.  The á
notification came by post."
angry,"With the job appointments committee when the headmaster in charge á
explained that a male teacher was more suitable for the á
particular post.  I had more years of service than the male á
teacher, but this was not taken into consideration.  I could have á
been given a less attractive job if things had gone the way the á
headmaster wanted."
sad,"A colleague's 17 year old daughter is seriously ill with cancer á
and has only a year to live.  I  heard about it 6 weeks ago."
happy,"When a close friend met me at the station in the middle of the á
night, when I came back from a long and tiring journey."
angry,"Someone didn't show up at a meeting in spite of having agreed to á
come."
sad,"When I understood that my marriage was falling apart, and we á
decided to be legally separated."
happy,"When I was able to buy my new car, after lots of problems."
angry,"When I tried to put up a tent some years ago, I was teased and á
hindered by my cousin."
sad,When my grandfather died.
happy,When I was admitted to a certain school as a student.
angry,"A drunken friend of mine was beating up another friend, who was á
also drunk."
sad,"When I didn't get a certain job at Lillehammer which I wanted á
very much."
happy,"When my father managed to begin a ""new life"" after the divorce á
from my mother; resulting in a new little sister for me."
angry,"My mother and her friends were speaking badly about my father á
when they were separated, and my brothers and sisters and myself á
were allowed to listen."
sad,"Being bored in school, not being able to marry and have children."
happy,"I was in hospital, and then was visited by someone quite á
unexpected."
angry,"I was accused of a misdemeanour, unjustly."
sad,When my girlfriend left me.
happy,"When I finally managed to get a specific sound from my guitar, á
after baving tried for a long time."
angry,Meeting generally dominating persons in social occasions.
sad,"Discovering that Lillehammer provided no musical environment that á
suits my taste, even though I had been told so."
happy,When my children were born.
angry,"When my father phoned me to come home from my vacation, since he á
no longer had the time to look after my garden and animals."
sad,When I was told that a good friend was seriously ill.
happy,"When my special friend said ""I love you"" for the first time."
angry,When my car suddenly broke down !
sad,When an earlier friend was spreading negative rumours about me.
happy,When my term paper was evaluated.
angry,"Angry with my brother, who was making fun of me, teasing me."
sad,When my gradmother died.
happy,Got in touch with earlier friends after a long absence.
angry,"Being subject to unfair treatment in a working group, someone á
""bending the rules"" was protected by the boss. This resulted in á
more work for the others."
sad,The death of a close friend.
happy,"Receiving a much wanted letter from a very good friend who lives á
abroad."
angry,"One of my best friends accused me of giving up to early on á
problems. It was only a casual remark on her side, but I was á
angry and hurt."
sad,"Realizing that school will soon be over, and we will all go á
different ways, perhaps never meeting again our friends from this á
year."
happy,"A friend which I hadn't seen for years, sent me a small present."
angry,"I was subject to false accusations, and got very angry."
sad,"I was told by a good friend that we couldn't be friends any more á
because of his relationship with another girl."
happy,"When my fiancee travelled 2000 Km to visit me, and I hadn't seen á
her for 4 months."
angry,"I felt unfairly treated at an airport, being told to use a á
different counter (for domestic traffic only)."
sad,When my grandmother died.
happy,"When the person that I was very fond of, returned to me."
angry,"When students in our working group showed no responsibility or á
interest in our work."
sad,A very close friend left me.
happy,"A close acquaintace cried for me. I felt happy because somebody á
cared."
angry,"My nephew is a deaf and also ""hyperactive"" boy. I had been á
responsible for looking after him for a full day, and was very á
tired. Then he suddenly grabbed a knife and stabbed me in the á
leg. I got so angry that I didn't feel any pain."
sad,"A woman I know is slowly dying from cancer. Observing this á
process makes me sad."
happy,Renewed contact with an earlier friend.
angry,"A close friend first said he accepted an agreement, but later á
used that agreement as a reason for attacking me."
sad,"When realizing that my girlfriend and myself in fact had started á
the process of breaking up."
happy,"Receiving a postcard form my sweetheart who was abroad on á
vacation, not being at all sure if he would write me or not."
angry,"When I tried to breake it up with my boyfriend, and he refused to á
let me go."
sad,"Having to go back home form the U.S. after having been there for á
ten weeks to visit my brother and his family."
happy,Finding my glasses again after having lost them in town.
angry,Having a fight with a class mate.
sad,When the gear broke on my car.
happy,I got a job right after school was over.
angry,I get angry when people disbelieve me or misunderstand me.
sad,At the death of a close relative.
happy,"Having passed the exam required to be an authorized Radio/TV á
dealer."
angry,"Being a spokesman for the union, I got into a quarrel with a á
colleague who had been acting disloyally over a sustained period á
of time."
sad,"When my grandfather died, with whom I had a very close á
relationship."
happy,Succeeding in helping others.
angry,"When others let me down, fail to keep agreements."
sad,Death in the close family.
happy,"I received the message that I'd been accepted at the school where I á
really wanted to go."
angry,"I was accused of having drunk a bottle of liquor and then á
refilling with water."
sad,"Got a package from my parents, without even a small note á
enclosed."
happy,Winning the local soccer championships this year was a great joy.
angry,When colliding with my car. I myself was to blame.
sad,"Not succeeding in a cross-country skiing competition, which I á
intended to win."
happy,Getting the top price in the football pools.
angry,When my mother treats me as a 10-year old boy.
sad,Getting to know that my uncle in America had a brain tumor.
happy,"Receiving close friends form abroad, whom I hadn't seen for á
years."
angry,"Having agreed to share the taxi expenses, three people in the á
back of the car just ran off, leaving the person up front with á
the entire bill."
sad,Death of a close friend.
happy,Selling my used car.
angry,"Realizing that a friend had been talked into signing a certain á
contract."
sad,"Talking to a pensioned and bitter ""street order"" policeman."
happy,Managed to run 30 Km on skis fairly simply.
angry,Receiving personal criticisms early in the morning.
sad,Not getting a job.
happy,Reunion with my wife after a legal separation.
angry,"Physical violence. A friend wouldn't listen to me I repeatedly á
tried to warn him, to no avail. Result: eight people were ""pissed á
off""."
sad,My father dying.
happy,Relating to my closest family.
angry,"In traffic I often get relatively angry with other drivers. á
Several transgressions make me mad, especially not yielding to á
priority traffic (e.g. coming from the right)."
sad,"Losing close people and animals. So far, I've felt most when á
losing our dog in a traffic accident."
happy,When the contract about my shop was signed.
angry,"Having gone to school without learning anything, as usual."
sad,"My sweatheart were away on a trip, and then she got problems."
happy,"Receiving a letter form a girl that means a lot to me á
emotionally."
angry,Being slandered by friends.
sad,Love problems.
happy,I won the country ski championship.
angry,"Angry when our team (small boys) lost the county championship á
football final."
sad,My grandfather's death.
happy,"When the bank let me borrow some money this winter, after my á
grant was spent."
angry,"My father accused my brother of having bumped his car, and it was á
wrong."
sad,When a girlfriend left me.
happy,"I am a school teacher. At a teacher-parent meeting I received a á
good deal of positive feed-back on my work both from the parents á
and through them from the pupils."
angry,"I had a discussion with my mother concerning my sister's divorce, á
we disagreed strongly."
sad,"As a ten-year-old I was at the funeral of my grand-father.  It was more á
the ceremonies held in the church and not really the death of my á
grand-father which made me sad."
happy,[ A successful lesson.]
angry,A conflict with a pupil.
sad,When I am at home alone.
happy,When in an economic crisis I got an unexpected sum of money.
angry,"[ When I was treated unfairly, regardless of my motives or deeds.]"
sad,"When I noticed obvious marks of old age (in a negative sense) on á
a close relative of mine."
happy,"I was coming home from an exam and I supposed that I had á
passed it so I ran to a restaurant for a beer."
angry,"My fiancee and I were at my parent's place watching TV. There á
were  only two TV-chairs and we were sitting on them when my á
drunken brother came in and rudely chased my fiancee off the á
chair she was sitting on."
sad,I had drunk a couple of beers and my fiancee got angry at me.
happy,While dancing in a restaurant last week.
angry,When a girl left me.
